Longitude,Latitude,ADDRESS,SPECIES,COM_NAME,DBH,HEIGHT,CONDITION,LAND_TYPE,PARK_NAME,X,Y
-97.73595879,30.27332307,1401 TRINITY ST,Ulmus americana,American Elm,33,8,Poor,Park,Waterloo Neighborhood Park,3116428.035,10072714.98
-97.73597932,30.27335839,1201 RED RIVER ST,Carya illinoinensis,Pecan,23,8,Good,Park,Waterloo Neighborhood Park,3116421.258,10072727.68
-97.73610874,30.27359656,1201 RED RIVER ST,Carya illinoinensis,Pecan,23,8,Fair,Park,Waterloo Neighborhood Park,3116378.39,10072813.32
-97.7360886,30.27381426,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,21,35,Good,Park,Waterloo Neighborhood Park,3116382.9,10072892.62
-97.73610533,30.27400762,1201 RED RIVER ST,Carya illinoinensis,Pecan,19,8,Fair,Park,Waterloo Neighborhood Park,3116375.978,10072962.8
-97.73593133,30.27429501,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,19,30,Good,Park,Waterloo Neighborhood Park,3116428.449,10073068.58
-97.73578093,30.27449259,1201 RED RIVER ST,Ulmus americana,American Elm,20,40,Good,Park,Waterloo Neighborhood Park,3116474.234,10073141.52
-97.73563812,30.27439677,1401 TRINITY ST,Quercus fusiformis,Escarpment Live Oak,38,35,Fair,Park,Waterloo Neighborhood Park,3116520.115,10073107.73
-97.73642414,30.27400705,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,39,47,Poor,Park,Waterloo Neighborhood Park,3116275.371,10072960.24
-97.73638196,30.27411309,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,44,50,Good,Park,Waterloo Neighborhood Park,3116287.784,10072999.11
-97.73732201,30.26326656,2000 N IH 35 SB,Carya illinoinensis,Pecan,32,37,Fair,Park,Sir Swante Palm Neighborhood Park,3116083.168,10069048.48
-97.73766665,30.26304123,2000 N IH 35 SB,Ulmus americana,American Elm,28,42,Good,Park,Sir Swante Palm Neighborhood Park,3115976.304,10068964.02
-97.73813395,30.26289104,600 E 2 ST,Carya illinoinensis,Pecan,25,35,Good,Park,Sir Swante Palm Neighborhood Park,3115830.089,10068905.97
-97.73834118,30.2628106,600 E 2 ST,Ulmus americana,American Elm,23,35,Good,Park,Sir Swante Palm Neighborhood Park,3115765.364,10068875.19
-97.73827743,30.26263492,2000 N IH 35 SB,Carya illinoinensis,Pecan,24,32,Good,Park,Sir Swante Palm Neighborhood Park,3115786.977,10068811.79
-97.73816508,30.26263721,2000 N IH 35 SB,Carya illinoinensis,Pecan,19,32,Fair,Park,Sir Swante Palm Neighborhood Park,3115822.418,10068813.45
-97.73711079,30.26311859,109 SABINE ST,Quercus durandii,Durand Oak,54,37,Good,Park,Sir Swante Palm Neighborhood Park,3116151.089,10068996.24
-97.7371132,30.26309737,109 SABINE ST,Ulmus crassifolia,Cedar Elm,19,36,Fair,Park,Sir Swante Palm Neighborhood Park,3116150.507,10068988.51
-97.73703002,30.26319378,109 SABINE ST,Ulmus crassifolia,Cedar Elm,19,32,Fair,Park,Sir Swante Palm Neighborhood Park,3116175.943,10069024.17
-97.73705572,30.26244148,2000 N IH 35 SB,Quercus durandii,Durand Oak,50,37,Fair,Park,Sir Swante Palm Neighborhood Park,3116174.217,10068750.45
-97.73720948,30.26255689,109 SABINE ST,Quercus durandii,Durand Oak,28,37,Poor,Park,Sir Swante Palm Neighborhood Park,3116124.708,10068791.28
-97.7373287,30.26256783,2000 N IH 35 SB,Quercus durandii,Durand Oak,36,39,Good,Park,Sir Swante Palm Neighborhood Park,3116086.984,10068794.38
-97.7375084,30.26265094,2000 N IH 35 SB,Quercus durandii,Durand Oak,27,36,Fair,Park,Sir Swante Palm Neighborhood Park,3116029.562,10068823.28
-97.73751,30.2625717,2000 N IH 35 SB,Carya illinoinensis,Pecan,19,42,Good,Park,Sir Swante Palm Neighborhood Park,3116029.73,10068794.46
-97.73763213,30.26265895,600 E 2 ST,Carya illinoinensis,Pecan,49,38,Poor,Park,Sir Swante Palm Neighborhood Park,3115990.444,10068825.28
-97.7366049,30.2622413,2000 N IH 35 SB,Carya illinoinensis,Pecan,28,35,Good,Park,Sir Swante Palm Neighborhood Park,3116318.204,10068681
-97.73645877,30.2626559,109 SABINE ST,Carya illinoinensis,Pecan,38,45,Good,Park,Sir Swante Palm Neighborhood Park,3116360.807,10068832.81
-97.73650256,30.26276988,109 SABINE ST,Carya illinoinensis,Pecan,34,35,Poor,Park,Sir Swante Palm Neighborhood Park,3116346.017,10068873.93
-97.73636002,30.26297392,109 SABINE ST,Quercus virginiana,Southern Live Oak,20,29,Good,Park,Sir Swante Palm Neighborhood Park,3116389.275,10068949.17
-97.73657567,30.26312244,109 SABINE ST,Carya illinoinensis,Pecan,25,25,Poor,Park,Sir Swante Palm Neighborhood Park,3116319.949,10069001.58
-97.73661019,30.26313198,109 SABINE ST,Carya illinoinensis,Pecan,26,34,Poor,Park,Sir Swante Palm Neighborhood Park,3116308.975,10069004.8
-97.7458058,30.26984985,300 W 7TH ST,Quercus virginiana,Southern Live Oak,11,25,Fair,ROW,,3113349.829,10071379.72
-97.74572361,30.26981317,300 W 7TH ST,Quercus virginiana,Southern Live Oak,11,25,Fair,ROW,,3113376.079,10071366.98
-97.74561819,30.26977938,300 W 7TH ST,Quercus virginiana,Southern Live Oak,9,25,Fair,ROW,,3113409.637,10071355.47
-97.74551925,30.26975366,300 W 7TH ST,Quercus virginiana,Southern Live Oak,10,25,Fair,ROW,,3113441.08,10071346.85
-97.74544116,30.26972962,300 W 7TH ST,Quercus virginiana,Southern Live Oak,9,25,Fair,ROW,,3113465.927,10071338.68
-97.73884514,30.26789154,400 E 7TH ST,Celtis laevigata,Sugarberry,16,25,Poor,ROW,,3115563.21,10070718.87
-97.73879234,30.26787613,400 E 7TH ST,Celtis laevigata,Sugarberry,7,8,Poor,ROW,,3115580.007,10070713.65
-97.74547466,30.26991446,300 W 7TH ST,Quercus virginiana,Southern Live Oak,11,16,Fair,ROW,,3113453.791,10071405.64
-97.74541119,30.26990816,300 W 7TH ST,Quercus virginiana,Southern Live Oak,10,23,Fair,ROW,,3113473.877,10071403.82
-97.74535432,30.2698938,300 W 7TH ST,Quercus virginiana,Southern Live Oak,13,25,Fair,ROW,,3113491.945,10071399.01
-97.74530319,30.26987355,300 W 7TH ST,Quercus virginiana,Southern Live Oak,8,17,Fair,ROW,,3113508.252,10071392.03
-97.74523423,30.26985712,300 W 7TH ST,Quercus virginiana,Southern Live Oak,9,19,Fair,ROW,,3113530.157,10071386.56
-97.74517697,30.26984678,300 W 7TH ST,Quercus virginiana,Southern Live Oak,9,17,Fair,ROW,,3113548.313,10071383.22
-97.74511521,30.26983438,300 W 7TH ST,Quercus virginiana,Southern Live Oak,13,25,Fair,ROW,,3113567.912,10071379.16
-97.74506338,30.26982409,300 W 7TH ST,Quercus virginiana,Southern Live Oak,13,27,Fair,ROW,,3113584.357,10071375.8
-97.74225507,30.26900705,100 E 7TH ST,Quercus shumardii,Shumard Oak,23,27,Fair,ROW,,3114477.574,10071099.37
-97.74066542,30.26858882,200 E 7TH ST,Quercus virginiana,Southern Live Oak,8,20,Fair,ROW,,3114982.813,10070959
-97.74052939,30.26854662,200 E 7TH ST,Quercus virginiana,Southern Live Oak,5,15,Fair,ROW,,3115026.103,10070944.66
-97.7404227,30.26850135,200 E 7TH ST,Quercus virginiana,Southern Live Oak,9,22,Good,ROW,,3115060.158,10070928.98
-97.74033633,30.26847316,200 E 7TH ST,Quercus virginiana,Southern Live Oak,8,20,Good,ROW,,3115087.654,10070919.36
-97.74024725,30.2684572,200 E 7TH ST,Quercus virginiana,Southern Live Oak,8,22,Good,ROW,,3115115.904,10070914.22
-97.73772391,30.26774687,500 E 7TH ST,Ulmus parvifolia,Chinese Elm,7,23,Fair,ROW,,3115918.303,10070674.53
-97.73744955,30.2676656,500 E 7TH ST,Ulmus parvifolia,Chinese Elm,6,18,Fair,ROW,,3116005.582,10070647
-97.73738445,30.26764593,500 E 7TH ST,Ulmus parvifolia,Chinese Elm,6,16,Fair,ROW,,3116026.296,10070640.32
-97.73666544,30.2674779,700 RED RIVER ST,Stump,Stump,8,5,Stump,ROW,,3116254.644,10070584.53
-97.73660592,30.26746444,600 E 7TH ST,Stump,Stump,8,5,Stump,ROW,,3116273.542,10070580.07
-97.73655391,30.26745041,600 E 7TH ST,Stump,Stump,8,5,Stump,ROW,,3116290.076,10070575.35
-97.73651296,30.26743701,600 E 7TH ST,Stump,Stump,8,5,Stump,ROW,,3116303.115,10070570.78
-97.74971664,30.26887917,600 W 5TH ST,Ulmus parvifolia,Chinese Elm,4,8,Good,ROW,,3112123.774,10070998.09
-97.74363771,30.28211172,512 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3113930.269,10075853.95
-97.74315115,30.28197821,500 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114084.937,10075808.98
-97.74306098,30.28195155,500 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114113.618,10075799.95
-97.7429982,30.28193328,500 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114133.582,10075793.77
-97.7429185,30.28191069,500 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114158.922,10075786.14
-97.74246194,30.28177362,400 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114304.154,10075739.66
-97.74237825,30.28175257,400 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114330.744,10075732.62
-97.73836278,30.28060862,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115607.566,10075346.23
-97.73846202,30.28063077,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115576.06,10075353.55
-97.7385322,30.28065017,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115553.749,10075360.09
-97.73862472,30.28067914,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115524.307,10075369.94
-97.73869409,30.28069961,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115502.245,10075376.87
-97.73874507,30.28070902,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115486.075,10075379.92
-97.73883737,30.28072978,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115456.773,10075386.79
-97.73891038,30.28075395,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115433.531,10075395.04
-97.7389643,30.28077167,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115416.365,10075401.09
-97.73904295,30.28078759,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115391.412,10075406.3
-97.73915872,30.28083335,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115354.491,10075422.08
-97.73921728,30.28084449,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115335.915,10075425.7
-97.73929671,30.28086748,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115310.655,10075433.48
-97.73939467,30.28090264,1800 COLORADO ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115279.445,10075445.54
-97.7481064,30.26963893,500 W 6TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3112625.547,10071286.14
-97.74824017,30.26967667,500 W 6TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3112583.012,10071298.89
-97.73892074,30.27156691,1000 SAN JACINTO BLVD,Quercus shumardii,Shumard Oak,21,35,Poor,ROW,,3115508.178,10072054.64
-97.74039735,30.26756896,600 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,8,21,Fair,ROW,,3115076.061,10070590.16
-97.74041996,30.26751646,600 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,6,21,Fair,ROW,,3115069.37,10070570.9
-97.74024734,30.26748091,600 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,11,25,Fair,ROW,,3115124.152,10070559.25
-97.74022889,30.26752673,600 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,7,21,Fair,ROW,,3115129.586,10070576.04
-97.74049094,30.26730278,500 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,8,21,Fair,ROW,,3115048.781,10070492.69
-97.74051457,30.2672316,500 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,8,21,Fair,ROW,,3115041.924,10070466.63
-97.74033086,30.26727691,500 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,9,21,Fair,ROW,,3115099.52,10070484.46
-97.74167169,30.26693834,500 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Fair,ROW,,3114679.214,10070351.49
-97.74164732,30.26699795,500 BRAZOS ST,Acer grandidentatum,Bigtooth Maple,4,15,Fair,ROW,,3114686.401,10070373.35
-97.74151859,30.26734531,500 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Fair,ROW,,3114724.086,10070500.59
-97.74149865,30.26740601,500 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Fair,ROW,,3114729.866,10070522.81
-97.74147232,30.26745885,500 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Fair,ROW,,3114737.729,10070542.21
-97.74145698,30.26751583,500 BRAZOS ST,Acer grandidentatum,Bigtooth Maple,2,9,Fair,ROW,,3114742.085,10070563.04
-97.74172507,30.26726904,500 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Fair,ROW,,3114659.566,10070471.34
-97.74170283,30.26733147,500 BRAZOS ST,Fraxinus texensis,Texas Ash,5,15,Fair,ROW,,3114666.058,10070494.2
-97.74168061,30.26738472,500 BRAZOS ST,Fraxinus texensis,Texas Ash,5,15,Fair,ROW,,3114672.619,10070513.73
-97.74165794,30.26744656,500 BRAZOS ST,Fraxinus texensis,Texas Ash,5,15,Fair,ROW,,3114679.249,10070536.38
-97.74163913,30.2675019,500 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Fair,ROW,,3114684.716,10070556.64
-97.74150103,30.26785602,600 BRAZOS ST,Ulmus crassifolia,Cedar Elm,8,65,Fair,ROW,,3114725.301,10070686.41
-97.74147781,30.26792998,600 BRAZOS ST,Ulmus crassifolia,Cedar Elm,6,65,Fair,ROW,,3114732.002,10070713.47
-97.7413482,30.26780687,600 BRAZOS ST,Acer grandidentatum,Bigtooth Maple,1,8,Fair,ROW,,3114773.951,10070669.66
-97.74132625,30.26786528,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,65,Fair,ROW,,3114780.385,10070691.06
-97.74130615,30.26792449,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,18,Fair,ROW,,3114786.227,10070712.74
-97.74127948,30.26798558,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,18,Fair,ROW,,3114794.125,10070735.15
-97.74125999,30.26804806,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,18,Fair,ROW,,3114799.749,10070758.01
-97.74119447,30.26821613,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,18,Fair,ROW,,3114819,10070819.6
-97.74117555,30.26827371,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,18,Fair,ROW,,3114824.486,10070840.67
-97.74115086,30.26833274,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,18,Fair,ROW,,3114831.777,10070862.32
-97.74113293,30.26838814,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,18,Fair,ROW,,3114836.966,10070882.59
-97.74110828,30.26844579,600 BRAZOS ST,Acer grandidentatum,Bigtooth Maple,3,7,Fair,ROW,,3114844.257,10070903.74
-97.73892987,30.25568492,44 EAST AVE,Quercus fusiformis,Escarpment Live Oak,21,37,Good,Private,,3115639.998,10066280.03
-97.73888967,30.25573533,44 EAST AVE,Quercus virginiana,Southern Live Oak,29,37,Good,Private,,3115652.261,10066298.65
-97.73888631,30.25581039,44 EAST AVE,Quercus fusiformis,Escarpment Live Oak,30,40,Poor,Private,,3115652.683,10066325.97
-97.73864377,30.26277454,100 RED RIVER ST,Ulmus crassifolia,Cedar Elm,13,18,Good,ROW,,3115670.168,10068859.86
-97.73863392,30.26281771,100 RED RIVER ST,Ulmus crassifolia,Cedar Elm,8,18,Good,ROW,,3115672.91,10068875.63
-97.73859059,30.26289415,100 RED RIVER ST,Ulmus crassifolia,Cedar Elm,10,18,Good,ROW,,3115685.938,10068903.74
-97.73857862,30.2629354,100 RED RIVER ST,Ulmus crassifolia,Cedar Elm,10,18,Good,ROW,,3115689.366,10068918.82
-97.73856412,30.26298979,100 RED RIVER ST,Ulmus crassifolia,Cedar Elm,10,18,Good,ROW,,3115693.48,10068938.71
-97.73854963,30.26304419,100 RED RIVER ST,Ulmus crassifolia,Cedar Elm,9,18,Good,ROW,,3115697.594,10068958.59
-97.73825826,30.2637813,300 RED RIVER ST,Quercus virginiana,Southern Live Oak,12,18,Good,ROW,,3115783.303,10069228.75
-97.73707331,30.2665634,600 RED RIVER ST,Ulmus crassifolia,Cedar Elm,8,18,Fair,ROW,,3116133.679,10070249.02
-97.73705907,30.26660837,600 RED RIVER ST,Ulmus crassifolia,Cedar Elm,8,18,Fair,ROW,,3116137.793,10070265.48
-97.73718152,30.26621656,500 RED RIVER ST,Quercus virginiana,Southern Live Oak,14,18,Fair,ROW,,3116102.473,10070122.11
-97.73717875,30.26632004,500 RED RIVER ST,Ulmus crassifolia,Cedar Elm,8,18,Fair,ROW,,3116102.468,10070159.76
-97.73717119,30.26634527,500 RED RIVER ST,Ulmus crassifolia,Cedar Elm,9,18,Fair,ROW,,3116104.639,10070168.99
-97.73656048,30.26785989,700 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,35,38,Fair,ROW,,3116284.526,10070724.19
-97.73649799,30.26856769,800 RED RIVER ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3116298.24,10070982
-97.73645122,30.26869121,800 RED RIVER ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3116311.953,10071027.25
-97.73639546,30.26882586,800 RED RIVER ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3116328.409,10071076.62
-97.7363401,30.26894543,800 RED RIVER ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3116344.865,10071120.5
-97.73630181,30.26907666,800 RED RIVER ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3116355.836,10071168.5
-97.736282,30.26916678,800 RED RIVER ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3116361.321,10071201.41
-97.73603267,30.26987457,900 RED RIVER ST,Cercis canadensis,Eastern Redbud,7,15,Fair,ROW,,3116434.002,10071460.6
-97.73598408,30.26990375,900 RED RIVER ST,Washingtonia robusta,Mexican Fan Palm,9,8,Fair,ROW,,3116449.087,10071471.57
-97.73593609,30.27007251,900 RED RIVER ST,Washingtonia robusta,Mexican Fan Palm,15,18,Fair,ROW,,3116462.8,10071533.28
-97.73591438,30.27007207,900 RED RIVER ST,Ligustrum lucidum,Glossy Privet,13,18,Fair,ROW,,3116469.657,10071533.28
-97.73599733,30.26944837,900 RED RIVER ST,Quercus shumardii,Shumard Oak,4,15,Fair,ROW,,3116448.774,10071305.89
